Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
285984;"COPSA-URCOSA, U.T.E. TORRE ZENIT                                                                    ";114,95;1;25/03/2025;;;
286611;"LLORENS MAJORAL, GUADALUPE                                                                          ";21,85;1;10/04/2025;;;
431;"ELECTRODOMESTICS TAURUS,S.L.                                                                        ";632,89;1;10/08/2025;"Anna Maria Mateo    ";09/05/2025;"bON DIA, SISPLAU PODEU NMIRAR AQUESTA EXPEDICIÓ, JA QUE HEU FICAT A LA MATEIXA EXPE.DE DOS PROVEIDORS"
286468;"HESPERIA (FENIX)                                                                                    ";651,55;2;18/08/2025;;;
2527;"SALVAT LOGISTICA                                                                                    ";645,00;1;25/07/2025;"Didac Melsion       ";20/05/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 29434,93 EUR"
283854;"INTERMERCAT HIPER PRIX                                                                              ";90,70;3;10/06/2025;;;
281679;"SAME S.L.                                                                                           ";78,38;1;20/07/2025;"Anna Maria Mateo    ";17/09/2025;"GESTIO DE COBRO"
187754;"HEADBRANDS BEAUTY LUXURY GOLD,S.L.                                                                  ";1093,61;2;18/06/2025;"Josep Pereiro       ";09/04/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2231,61 EUR"
285991;"COMPLEX ESPORTIU SOCIOCULTURAL                                                                      ";27,75;1;25/06/2025;;;
282782;"MOTOR BOX ANDORRA - TM RACING ANDORRA ERMOT                                                         ";62,01;1;25/07/2025;"Anna Maria Mateo    ";24/02/2025;"GESTIO DE COBRO"
500774;"INACCES, S.L.                                                                                       ";53,21;1;21/08/2025;"Anna Maria Mateo    ";05/09/2025;"gestio de cobro"
5078;"PIC NEGRE,S.A.                                                                                      ";11,19;1;08/08/2025;"Anna Maria Mateo    ";23/11/2022;"GESTIO DE COBRO"
286561;"PALADIUM                                                                                            ";49,02;1;30/07/2025;;;
284793;"MORABANC GRUP                                                                                       ";14,62;2;21/08/2025;"Anna Maria Mateo    ";09/09/2025;"gestio de cobro"
